"id","school_id","grade","year","category","tested","mean_score","l1","p1","l2","p2","l3","p3","l4","p4"
4793,"09X230",4.00,2014.00,"Black",34.00,273.20,21.00,61.76,4.00,11.76,8.00,23.52,1.00,2.94
4794,"09X230",3.00,2014.00,"Hispanic",30.00,286.10,11.00,36.66,14.00,46.66,4.00,13.33,1.00,3.33
4795,"09X230",4.00,2014.00,"Hispanic",35.00,274.62,26.00,74.28,6.00,17.14,2.00,5.71,1.00,2.85
4796,"09X230",4.00,2014.00,"White",1.00,,,,,,,,,
4797,"09X230",4.00,2015.00,"All Students",75.00,274.17,41.00,54.66,27.00,36.00,6.00,8.00,1.00,1.33
4798,"09X230",4.00,2015.00,"Black",32.00,274.46,18.00,56.25,11.00,34.37,2.00,6.25,1.00,3.12
4799,"09X230",4.00,2015.00,"Hispanic",39.00,274.10,21.00,53.84,14.00,35.89,4.00,10.25,0.00,0.00
4800,"09X236",3.00,2013.00,"All Students",83.00,272.09,55.00,66.26,23.00,27.71,4.00,4.81,1.00,1.20
4801,"09X236",3.00,2013.00,"Asian",1.00,,,,,,,,,
4802,"09X236",3.00,2013.00,"Black",19.00,263.31,15.00,78.94,4.00,21.05,0.00,0.00,0.00,0.00
4803,"09X236",3.00,2013.00,"Hispanic",63.00,274.60,39.00,61.90,19.00,30.15,4.00,6.34,1.00,1.58
4804,"09X236",3.00,2014.00,"All Students",79.00,280.79,37.00,46.83,28.00,35.44,13.00,16.45,1.00,1.26
4805,"09X236",4.00,2014.00,"All Students",66.00,273.98,39.00,59.09,15.00,22.72,9.00,13.63,3.00,4.54
4806,"09X236",4.00,2014.00,"Asian",1.00,,,,,,,,,
4807,"09X236",3.00,2014.00,"Black",19.00,286.26,8.00,42.10,8.00,42.10,3.00,15.78,0.00,0.00
4808,"09X236",4.00,2014.00,"Black",13.00,263.15,9.00,69.23,2.00,15.38,2.00,15.38,0.00,0.00
4809,"09X236",3.00,2014.00,"Hispanic",58.00,277.84,28.00,48.27,20.00,34.48,10.00,17.24,0.00,0.00
4810,"09X236",4.00,2014.00,"Hispanic",52.00,276.36,30.00,57.69,12.00,23.07,7.00,13.46,3.00,5.76
4811,"09X236",3.00,2014.00,"White",1.00,,,,,,,,,
4812,"09X236",3.00,2015.00,"All Students",84.00,285.85,40.00,47.61,27.00,32.14,17.00,20.23,0.00,0.00
4813,"09X236",4.00,2015.00,"All Students",67.00,286.34,27.00,40.29,28.00,41.79,12.00,17.91,0.00,0.00
4814,"09X236",3.00,2015.00,"Black",23.00,281.78,15.00,65.21,6.00,26.08,2.00,8.69,0.00,0.00
4815,"09X236",4.00,2015.00,"Black",16.00,286.37,7.00,43.75,5.00,31.25,4.00,25.00,0.00,0.00
4816,"09X236",3.00,2015.00,"Hispanic",59.00,288.38,24.00,40.67,20.00,33.89,15.00,25.42,0.00,0.00
4817,"09X236",4.00,2015.00,"Hispanic",49.00,285.65,20.00,40.81,21.00,42.85,8.00,16.32,0.00,0.00
4818,"09X236",3.00,2015.00,"White",1.00,,,,,,,,,
4819,"09X236",4.00,2015.00,"White",1.00,,,,,,,,,
4820,"09X274",3.00,2015.00,"All Students",102.00,274.57,66.00,64.70,29.00,28.43,5.00,4.90,2.00,1.96
4821,"09X274",3.00,2015.00,"Asian",1.00,,,,,,,,,
4822,"09X274",3.00,2015.00,"Black",41.00,277.56,25.00,60.97,12.00,29.26,3.00,7.31,1.00,2.43
4823,"09X274",3.00,2015.00,"Hispanic",57.00,273.50,37.00,64.91,17.00,29.82,2.00,3.50,1.00,1.75
4824,"09X274",3.00,2015.00,"White",1.00,,,,,,,,,
4825,"09X294",3.00,2015.00,"All Students",80.00,299.83,24.00,30.00,27.00,33.75,15.00,18.75,14.00,17.50
4826,"09X294",3.00,2015.00,"Asian",1.00,,,,,,,,,
4827,"09X294",3.00,2015.00,"Black",19.00,299.31,5.00,26.31,11.00,57.89,0.00,0.00,3.00,15.78
4828,"09X294",3.00,2015.00,"Hispanic",57.00,298.84,18.00,31.57,16.00,28.07,13.00,22.80,10.00,17.54
4829,"09X294",3.00,2015.00,"White",2.00,,,,,,,,,
4830,"09X311",3.00,2015.00,"All Students",77.00,270.51,53.00,68.83,17.00,22.07,5.00,6.49,2.00,2.59
4831,"09X311",3.00,2015.00,"Black",12.00,282.33,8.00,66.66,1.00,8.33,2.00,16.66,1.00,8.33
4832,"09X311",3.00,2015.00,"Hispanic",61.00,269.63,42.00,68.85,15.00,24.59,3.00,4.91,1.00,1.63
4833,"09X311",3.00,2015.00,"White",3.00,,,,,,,,,
4834,"09X443",3.00,2013.00,"All Students",95.00,280.11,50.00,52.63,31.00,32.63,10.00,10.52,4.00,4.21
4835,"09X443",4.00,2013.00,"All Students",101.00,274.16,54.00,53.46,40.00,39.60,7.00,6.93,0.00,0.00
4836,"09X443",3.00,2013.00,"Asian",10.00,304.90,5.00,50.00,1.00,10.00,1.00,10.00,3.00,30.00
4837,"09X443",4.00,2013.00,"Asian",7.00,302.14,1.00,14.28,3.00,42.85,3.00,42.85,0.00,0.00
4838,"09X443",3.00,2013.00,"Black",26.00,282.80,12.00,46.15,11.00,42.30,3.00,11.53,0.00,0.00
4839,"09X443",4.00,2013.00,"Black",20.00,268.00,12.00,60.00,8.00,40.00,0.00,0.00,0.00,0.00
4840,"09X443",3.00,2013.00,"Hispanic",59.00,274.72,33.00,55.93,19.00,32.20,6.00,10.16,1.00,1.69
4841,"09X443",4.00,2013.00,"Hispanic",74.00,273.18,41.00,55.40,29.00,39.18,4.00,5.40,0.00,0.00
4842,"09X443",3.00,2014.00,"All Students",84.00,279.13,47.00,55.95,29.00,34.52,8.00,9.52,0.00,0.00
4843,"09X443",4.00,2014.00,"All Students",81.00,275.96,47.00,58.02,24.00,29.62,7.00,8.64,3.00,3.70
