"id","school_id","grade","year","category","tested","mean_score","l1","p1","l2","p2","l3","p3","l4","p4"
1,"01M015",3.00,2013.00,"All Students",27.00,277.77,16.00,59.25,11.00,40.74,0.00,0.00,0.00,0.00
2,"01M015",4.00,2013.00,"All Students",20.00,277.40,12.00,60.00,6.00,30.00,1.00,5.00,1.00,5.00
3,"01M015",3.00,2013.00,"Asian",1.00,,,,,,,,,
4,"01M015",4.00,2013.00,"Asian",2.00,,,,,,,,,
5,"01M015",3.00,2013.00,"Black",11.00,280.27,6.00,54.54,5.00,45.45,0.00,0.00,0.00,0.00
6,"01M015",4.00,2013.00,"Black",8.00,264.12,6.00,75.00,2.00,25.00,0.00,0.00,0.00,0.00
7,"01M015",3.00,2013.00,"Hispanic",15.00,274.86,10.00,66.66,5.00,33.33,0.00,0.00,0.00,0.00
8,"01M015",4.00,2013.00,"Hispanic",10.00,282.60,5.00,50.00,4.00,40.00,1.00,10.00,0.00,0.00
9,"01M015",3.00,2014.00,"All Students",18.00,286.38,6.00,33.33,9.00,50.00,2.00,11.11,1.00,5.55
10,"01M015",4.00,2014.00,"All Students",24.00,282.41,9.00,37.50,14.00,58.33,1.00,4.16,0.00,0.00
11,"01M015",3.00,2014.00,"Asian",1.00,,,,,,,,,
12,"01M015",4.00,2014.00,"Asian",1.00,,,,,,,,,
13,"01M015",3.00,2014.00,"Black",10.00,282.50,4.00,40.00,5.00,50.00,0.00,0.00,1.00,10.00
14,"01M015",4.00,2014.00,"Black",10.00,280.50,5.00,50.00,5.00,50.00,0.00,0.00,0.00,0.00
15,"01M015",3.00,2014.00,"Hispanic",7.00,291.71,2.00,28.57,3.00,42.85,2.00,28.57,0.00,0.00
16,"01M015",4.00,2014.00,"Hispanic",13.00,282.46,4.00,30.76,8.00,61.53,1.00,7.69,0.00,0.00
17,"01M015",3.00,2015.00,"All Students",17.00,279.58,10.00,58.82,4.00,23.52,2.00,11.76,1.00,5.88
18,"01M015",4.00,2015.00,"All Students",17.00,281.00,8.00,47.05,7.00,41.17,2.00,11.76,0.00,0.00
19,"01M015",4.00,2015.00,"Asian",1.00,,,,,,,,,
20,"01M015",3.00,2015.00,"Black",10.00,276.00,7.00,70.00,2.00,20.00,1.00,10.00,0.00,0.00
21,"01M015",4.00,2015.00,"Black",9.00,276.33,5.00,55.55,3.00,33.33,1.00,11.11,0.00,0.00
22,"01M015",3.00,2015.00,"Hispanic",7.00,284.71,3.00,42.85,2.00,28.57,1.00,14.28,1.00,14.28
23,"01M015",4.00,2015.00,"Hispanic",7.00,287.71,2.00,28.57,4.00,57.14,1.00,14.28,0.00,0.00
24,"01M019",3.00,2013.00,"All Students",36.00,310.63,8.00,22.22,10.00,27.77,10.00,27.77,8.00,22.22
25,"01M019",4.00,2013.00,"All Students",42.00,288.85,18.00,42.85,11.00,26.19,13.00,30.95,0.00,0.00
26,"01M019",3.00,2013.00,"Asian",4.00,,,,,,,,,
27,"01M019",4.00,2013.00,"Asian",5.00,,,,,,,,,
28,"01M019",3.00,2013.00,"Black",9.00,297.66,1.00,11.11,5.00,55.55,3.00,33.33,0.00,0.00
29,"01M019",4.00,2013.00,"Black",9.00,282.00,3.00,33.33,6.00,66.66,0.00,0.00,0.00,0.00
30,"01M019",3.00,2013.00,"Hispanic",17.00,303.58,5.00,29.41,4.00,23.52,5.00,29.41,3.00,17.64
31,"01M019",4.00,2013.00,"Hispanic",23.00,282.56,13.00,56.52,4.00,17.39,6.00,26.08,0.00,0.00
32,"01M019",3.00,2013.00,"White",5.00,,,,,,,,,
33,"01M019",4.00,2013.00,"White",3.00,,,,,,,,,
34,"01M019",3.00,2014.00,"All Students",35.00,310.62,8.00,22.85,10.00,28.57,11.00,31.42,6.00,17.14
35,"01M019",4.00,2014.00,"All Students",34.00,315.88,7.00,20.58,8.00,23.52,10.00,29.41,9.00,26.47
36,"01M019",3.00,2014.00,"Asian",8.00,328.87,1.00,12.50,2.00,25.00,2.00,25.00,3.00,37.50
37,"01M019",4.00,2014.00,"Asian",4.00,,,,,,,,,
38,"01M019",3.00,2014.00,"Black",7.00,300.14,2.00,28.57,3.00,42.85,2.00,28.57,0.00,0.00
39,"01M019",4.00,2014.00,"Black",7.00,312.57,2.00,28.57,2.00,28.57,2.00,28.57,1.00,14.28
40,"01M019",3.00,2014.00,"Hispanic",16.00,304.37,5.00,31.25,3.00,18.75,6.00,37.50,2.00,12.50
41,"01M019",4.00,2014.00,"Hispanic",16.00,305.18,5.00,31.25,3.00,18.75,5.00,31.25,3.00,18.75
42,"01M019",3.00,2014.00,"White",3.00,,,,,,,,,
43,"01M019",4.00,2014.00,"White",6.00,309.50,0.00,0.00,3.00,50.00,2.00,33.33,1.00,16.66
44,"01M019",3.00,2015.00,"All Students",28.00,303.25,6.00,21.42,11.00,39.28,9.00,32.14,2.00,7.14
45,"01M019",4.00,2015.00,"All Students",32.00,322.12,4.00,12.50,6.00,18.75,11.00,34.37,11.00,34.37
46,"01M019",3.00,2015.00,"Asian",3.00,,,,,,,,,
47,"01M019",4.00,2015.00,"Asian",6.00,334.66,0.00,0.00,1.00,16.66,2.00,33.33,3.00,50.00
48,"01M019",3.00,2015.00,"Black",5.00,,,,,,,,,
49,"01M019",4.00,2015.00,"Black",6.00,309.50,1.00,16.66,1.00,16.66,3.00,50.00,1.00,16.66
50,"01M019",3.00,2015.00,"Hispanic",19.00,298.52,3.00,15.78,10.00,52.63,6.00,31.57,0.00,0.00
51,"01M019",4.00,2015.00,"Hispanic",15.00,315.00,3.00,20.00,2.00,13.33,6.00,40.00,4.00,26.66
52,"01M019",3.00,2015.00,"White",1.00,,,,,,,,,
53,"01M019",4.00,2015.00,"White",3.00,,,,,,,,,
54,"01M020",3.00,2013.00,"All Students",79.00,302.24,20.00,25.31,31.00,39.24,18.00,22.78,10.00,12.65
55,"01M020",4.00,2013.00,"All Students",75.00,294.14,23.00,30.66,27.00,36.00,21.00,28.00,4.00,5.33
56,"01M020",3.00,2013.00,"Asian",27.00,323.48,2.00,7.40,7.00,25.92,9.00,33.33,9.00,33.33
57,"01M020",4.00,2013.00,"Asian",19.00,313.47,3.00,15.78,5.00,26.31,9.00,47.36,2.00,10.52
58,"01M020",3.00,2013.00,"Black",7.00,274.42,4.00,57.14,3.00,42.85,0.00,0.00,0.00,0.00
59,"01M020",4.00,2013.00,"Black",8.00,262.37,5.00,62.50,3.00,37.50,0.00,0.00,0.00,0.00
60,"01M020",3.00,2013.00,"Hispanic",44.00,293.25,14.00,31.81,21.00,47.72,8.00,18.18,1.00,2.27
61,"01M020",4.00,2013.00,"Hispanic",46.00,290.69,15.00,32.60,18.00,39.13,11.00,23.91,2.00,4.34
62,"01M020",3.00,2013.00,"White",1.00,,,,,,,,,
63,"01M020",4.00,2013.00,"White",1.00,,,,,,,,,
64,"01M020",3.00,2014.00,"All Students",97.00,295.94,36.00,37.11,26.00,26.80,22.00,22.68,13.00,13.40
65,"01M020",4.00,2014.00,"All Students",65.00,300.24,21.00,32.30,19.00,29.23,14.00,21.53,11.00,16.92
66,"01M020",3.00,2014.00,"Asian",43.00,316.27,9.00,20.93,10.00,23.25,13.00,30.23,11.00,25.58
67,"01M020",4.00,2014.00,"Asian",23.00,331.60,3.00,13.04,1.00,4.34,9.00,39.13,10.00,43.47
68,"01M020",3.00,2014.00,"Black",11.00,256.54,9.00,81.81,1.00,9.09,1.00,9.09,0.00,0.00
69,"01M020",4.00,2014.00,"Black",5.00,,,,,,,,,
70,"01M020",3.00,2014.00,"Hispanic",40.00,285.15,17.00,42.50,15.00,37.50,6.00,15.00,2.00,5.00
71,"01M020",4.00,2014.00,"Hispanic",37.00,285.05,15.00,40.54,16.00,43.24,5.00,13.51,1.00,2.70
72,"01M020",3.00,2014.00,"White",3.00,,,,,,,,,
73,"01M020",3.00,2015.00,"All Students",92.00,298.80,32.00,34.78,25.00,27.17,19.00,20.65,16.00,17.39
74,"01M020",4.00,2015.00,"All Students",92.00,290.67,36.00,39.13,23.00,25.00,18.00,19.56,15.00,16.30
75,"01M020",3.00,2015.00,"Asian",28.00,323.32,3.00,10.71,7.00,25.00,8.00,28.57,10.00,35.71
76,"01M020",4.00,2015.00,"Asian",41.00,318.68,6.00,14.63,9.00,21.95,12.00,29.26,14.00,34.14
77,"01M020",3.00,2015.00,"Black",8.00,287.75,3.00,37.50,4.00,50.00,1.00,12.50,0.00,0.00
78,"01M020",4.00,2015.00,"Black",11.00,243.45,9.00,81.81,2.00,18.18,0.00,0.00,0.00,0.00
79,"01M020",3.00,2015.00,"Hispanic",45.00,280.95,25.00,55.55,9.00,20.00,8.00,17.77,3.00,6.66
80,"01M020",4.00,2015.00,"Hispanic",37.00,272.35,20.00,54.05,12.00,32.43,4.00,10.81,1.00,2.70
81,"01M020",3.00,2015.00,"White",9.00,322.11,1.00,11.11,3.00,33.33,2.00,22.22,3.00,33.33
82,"01M020",4.00,2015.00,"White",3.00,,,,,,,,,
83,"01M034",3.00,2013.00,"All Students",39.00,292.20,14.00,35.89,13.00,33.33,9.00,23.07,3.00,7.69
84,"01M034",4.00,2013.00,"All Students",46.00,297.32,16.00,34.78,17.00,36.95,8.00,17.39,5.00,10.86
85,"01M034",3.00,2013.00,"Asian",5.00,,,,,,,,,
86,"01M034",4.00,2013.00,"Asian",2.00,,,,,,,,,
87,"01M034",3.00,2013.00,"Black",9.00,276.22,6.00,66.66,1.00,11.11,2.00,22.22,0.00,0.00
88,"01M034",4.00,2013.00,"Black",10.00,303.10,4.00,40.00,2.00,20.00,2.00,20.00,2.00,20.00
89,"01M034",3.00,2013.00,"Hispanic",22.00,290.90,7.00,31.81,10.00,45.45,4.00,18.18,1.00,4.54
90,"01M034",4.00,2013.00,"Hispanic",33.00,291.24,12.00,36.36,15.00,45.45,4.00,12.12,2.00,6.06
91,"01M034",4.00,2013.00,"White",1.00,,,,,,,,,
92,"01M034",3.00,2014.00,"All Students",32.00,282.84,15.00,46.87,12.00,37.50,4.00,12.50,1.00,3.12
93,"01M034",4.00,2014.00,"All Students",37.00,296.56,13.00,35.13,14.00,37.83,8.00,21.62,2.00,5.40
94,"01M034",3.00,2014.00,"Asian",1.00,,,,,,,,,
95,"01M034",4.00,2014.00,"Asian",4.00,,,,,,,,,
96,"01M034",3.00,2014.00,"Black",8.00,280.00,4.00,50.00,2.00,25.00,2.00,25.00,0.00,0.00
97,"01M034",4.00,2014.00,"Black",11.00,283.81,7.00,63.63,2.00,18.18,2.00,18.18,0.00,0.00
98,"01M034",3.00,2014.00,"Hispanic",21.00,279.23,11.00,52.38,8.00,38.09,1.00,4.76,1.00,4.76
99,"01M034",4.00,2014.00,"Hispanic",20.00,294.30,5.00,25.00,11.00,55.00,4.00,20.00,0.00,0.00
100,"01M034",3.00,2014.00,"White",2.00,,,,,,,,,
101,"01M034",4.00,2014.00,"White",1.00,,,,,,,,,
102,"01M034",3.00,2015.00,"All Students",31.00,291.00,14.00,45.16,9.00,29.03,6.00,19.35,2.00,6.45
103,"01M034",4.00,2015.00,"All Students",30.00,289.83,9.00,30.00,15.00,50.00,4.00,13.33,2.00,6.66
104,"01M034",3.00,2015.00,"Asian",1.00,,,,,,,,,
105,"01M034",4.00,2015.00,"Asian",1.00,,,,,,,,,
106,"01M034",3.00,2015.00,"Black",7.00,286.28,3.00,42.85,2.00,28.57,2.00,28.57,0.00,0.00
107,"01M034",4.00,2015.00,"Black",6.00,276.50,2.00,33.33,3.00,50.00,1.00,16.66,0.00,0.00
108,"01M034",3.00,2015.00,"Hispanic",21.00,288.14,10.00,47.61,7.00,33.33,3.00,14.28,1.00,4.76
109,"01M034",4.00,2015.00,"Hispanic",20.00,292.75,5.00,25.00,12.00,60.00,1.00,5.00,2.00,10.00
110,"01M034",3.00,2015.00,"White",1.00,,,,,,,,,
111,"01M034",4.00,2015.00,"White",3.00,,,,,,,,,
112,"01M063",3.00,2013.00,"All Students",19.00,282.84,8.00,42.10,7.00,36.84,3.00,15.78,1.00,5.26
113,"01M063",4.00,2013.00,"All Students",21.00,276.28,10.00,47.61,8.00,38.09,3.00,14.28,0.00,0.00
114,"01M063",3.00,2013.00,"Asian",1.00,,,,,,,,,
115,"01M063",3.00,2013.00,"Black",5.00,,,,,,,,,
116,"01M063",4.00,2013.00,"Black",4.00,,,,,,,,,
117,"01M063",3.00,2013.00,"Hispanic",11.00,266.63,7.00,63.63,3.00,27.27,1.00,9.09,0.00,0.00
118,"01M063",4.00,2013.00,"Hispanic",14.00,275.50,7.00,50.00,5.00,35.71,2.00,14.28,0.00,0.00
119,"01M063",3.00,2013.00,"White",2.00,,,,,,,,,
120,"01M063",4.00,2013.00,"White",3.00,,,,,,,,,
121,"01M063",3.00,2014.00,"All Students",18.00,307.88,1.00,5.55,11.00,61.11,4.00,22.22,2.00,11.11
122,"01M063",4.00,2014.00,"All Students",18.00,311.72,3.00,16.66,6.00,33.33,5.00,27.77,4.00,22.22
123,"01M063",3.00,2014.00,"Asian",2.00,,,,,,,,,
124,"01M063",4.00,2014.00,"Asian",2.00,,,,,,,,,
125,"01M063",3.00,2014.00,"Black",6.00,296.66,1.00,16.66,4.00,66.66,1.00,16.66,0.00,0.00
126,"01M063",4.00,2014.00,"Black",6.00,322.33,1.00,16.66,1.00,16.66,2.00,33.33,2.00,33.33
127,"01M063",3.00,2014.00,"Hispanic",10.00,311.90,0.00,0.00,6.00,60.00,3.00,30.00,1.00,10.00
128,"01M063",4.00,2014.00,"Hispanic",8.00,294.62,2.00,25.00,4.00,50.00,1.00,12.50,1.00,12.50
129,"01M063",4.00,2014.00,"White",2.00,,,,,,,,,
130,"01M063",3.00,2015.00,"All Students",17.00,285.47,9.00,52.94,5.00,29.41,2.00,11.76,1.00,5.88
131,"01M063",4.00,2015.00,"All Students",13.00,314.76,0.00,0.00,7.00,53.84,4.00,30.76,2.00,15.38
132,"01M063",3.00,2015.00,"Asian",1.00,,,,,,,,,
133,"01M063",4.00,2015.00,"Asian",2.00,,,,,,,,,
134,"01M063",3.00,2015.00,"Black",7.00,283.28,4.00,57.14,2.00,28.57,1.00,14.28,0.00,0.00
135,"01M063",4.00,2015.00,"Black",3.00,,,,,,,,,
136,"01M063",3.00,2015.00,"Hispanic",8.00,282.50,4.00,50.00,3.00,37.50,1.00,12.50,0.00,0.00
137,"01M063",4.00,2015.00,"Hispanic",8.00,311.50,0.00,0.00,4.00,50.00,3.00,37.50,1.00,12.50
138,"01M063",3.00,2015.00,"White",1.00,,,,,,,,,
139,"01M064",3.00,2013.00,"All Students",32.00,275.25,20.00,62.50,10.00,31.25,2.00,6.25,0.00,0.00
140,"01M064",4.00,2013.00,"All Students",41.00,279.53,20.00,48.78,19.00,46.34,2.00,4.87,0.00,0.00
141,"01M064",3.00,2013.00,"Asian",3.00,,,,,,,,,
142,"01M064",4.00,2013.00,"Asian",1.00,,,,,,,,,
143,"01M064",3.00,2013.00,"Black",7.00,274.42,5.00,71.42,2.00,28.57,0.00,0.00,0.00,0.00
144,"01M064",4.00,2013.00,"Black",13.00,275.61,9.00,69.23,3.00,23.07,1.00,7.69,0.00,0.00
145,"01M064",3.00,2013.00,"Hispanic",20.00,272.10,13.00,65.00,6.00,30.00,1.00,5.00,0.00,0.00
146,"01M064",4.00,2013.00,"Hispanic",25.00,280.12,10.00,40.00,14.00,56.00,1.00,4.00,0.00,0.00
147,"01M064",3.00,2013.00,"White",2.00,,,,,,,,,
148,"01M064",4.00,2013.00,"White",2.00,,,,,,,,,
149,"01M064",3.00,2014.00,"All Students",43.00,297.88,10.00,23.25,23.00,53.48,9.00,20.93,1.00,2.32
150,"01M064",4.00,2014.00,"All Students",32.00,289.65,13.00,40.62,10.00,31.25,7.00,21.87,2.00,6.25
151,"01M064",3.00,2014.00,"Asian",4.00,,,,,,,,,
152,"01M064",4.00,2014.00,"Asian",3.00,,,,,,,,,
153,"01M064",3.00,2014.00,"Black",12.00,300.33,1.00,8.33,8.00,66.66,3.00,25.00,0.00,0.00
154,"01M064",4.00,2014.00,"Black",7.00,285.85,4.00,57.14,2.00,28.57,1.00,14.28,0.00,0.00
155,"01M064",3.00,2014.00,"Hispanic",24.00,291.00,8.00,33.33,14.00,58.33,2.00,8.33,0.00,0.00
156,"01M064",4.00,2014.00,"Hispanic",20.00,283.55,9.00,45.00,6.00,30.00,4.00,20.00,1.00,5.00
157,"01M064",3.00,2014.00,"White",2.00,,,,,,,,,
158,"01M064",4.00,2014.00,"White",1.00,,,,,,,,,
159,"01M064",3.00,2015.00,"All Students",40.00,302.25,9.00,22.50,18.00,45.00,8.00,20.00,5.00,12.50
160,"01M064",4.00,2015.00,"All Students",41.00,298.29,10.00,24.39,18.00,43.90,9.00,21.95,4.00,9.75
161,"01M064",3.00,2015.00,"Asian",3.00,,,,,,,,,
162,"01M064",4.00,2015.00,"Asian",5.00,,,,,,,,,
163,"01M064",3.00,2015.00,"Black",6.00,283.16,2.00,33.33,4.00,66.66,0.00,0.00,0.00,0.00
164,"01M064",4.00,2015.00,"Black",11.00,304.72,3.00,27.27,4.00,36.36,3.00,27.27,1.00,9.09
165,"01M064",3.00,2015.00,"Hispanic",27.00,300.48,6.00,22.22,14.00,51.85,5.00,18.51,2.00,7.40
166,"01M064",4.00,2015.00,"Hispanic",22.00,291.45,5.00,22.72,13.00,59.09,3.00,13.63,1.00,4.54
167,"01M064",3.00,2015.00,"White",3.00,,,,,,,,,
168,"01M064",4.00,2015.00,"White",2.00,,,,,,,,,
169,"01M110",3.00,2013.00,"All Students",54.00,321.51,10.00,18.51,9.00,16.66,19.00,35.18,16.00,29.62
170,"01M110",4.00,2013.00,"All Students",48.00,319.75,7.00,14.58,10.00,20.83,16.00,33.33,15.00,31.25
171,"01M110",3.00,2013.00,"Asian",7.00,322.14,1.00,14.28,1.00,14.28,3.00,42.85,2.00,28.57
172,"01M110",4.00,2013.00,"Asian",4.00,,,,,,,,,
173,"01M110",3.00,2013.00,"Black",4.00,,,,,,,,,
174,"01M110",4.00,2013.00,"Black",8.00,315.87,1.00,12.50,2.00,25.00,4.00,50.00,1.00,12.50
175,"01M110",3.00,2013.00,"Hispanic",27.00,313.40,7.00,25.92,6.00,22.22,6.00,22.22,8.00,29.62
176,"01M110",4.00,2013.00,"Hispanic",17.00,295.58,6.00,35.29,5.00,29.41,4.00,23.52,2.00,11.76
177,"01M110",3.00,2013.00,"White",15.00,337.20,1.00,6.66,2.00,13.33,7.00,46.66,5.00,33.33
178,"01M110",4.00,2013.00,"White",17.00,345.11,0.00,0.00,1.00,5.88,6.00,35.29,10.00,58.82
179,"01M110",3.00,2014.00,"All Students",69.00,319.14,11.00,15.94,18.00,26.08,20.00,28.98,20.00,28.98
180,"01M110",4.00,2014.00,"All Students",53.00,319.09,10.00,18.86,9.00,16.98,16.00,30.18,18.00,33.96
181,"01M110",3.00,2014.00,"Asian",6.00,350.16,0.00,0.00,0.00,0.00,2.00,33.33,4.00,66.66
182,"01M110",4.00,2014.00,"Asian",7.00,331.00,1.00,14.28,1.00,14.28,3.00,42.85,2.00,28.57
183,"01M110",3.00,2014.00,"Black",7.00,278.28,4.00,57.14,3.00,42.85,0.00,0.00,0.00,0.00
184,"01M110",4.00,2014.00,"Black",6.00,303.00,1.00,16.66,3.00,50.00,1.00,16.66,1.00,16.66
185,"01M110",3.00,2014.00,"Hispanic",36.00,309.72,7.00,19.44,13.00,36.11,10.00,27.77,6.00,16.66
186,"01M110",4.00,2014.00,"Hispanic",23.00,304.00,7.00,30.43,5.00,21.73,5.00,21.73,6.00,26.08
187,"01M110",3.00,2014.00,"White",17.00,339.58,0.00,0.00,2.00,11.76,7.00,41.17,8.00,47.05
188,"01M110",4.00,2014.00,"White",16.00,340.50,1.00,6.25,0.00,0.00,6.00,37.50,9.00,56.25
189,"01M110",3.00,2015.00,"All Students",50.00,318.50,9.00,18.00,10.00,20.00,14.00,28.00,17.00,34.00
190,"01M110",4.00,2015.00,"All Students",64.00,325.89,7.00,10.93,17.00,26.56,16.00,25.00,24.00,37.50
191,"01M110",3.00,2015.00,"Asian",6.00,337.66,1.00,16.66,0.00,0.00,2.00,33.33,3.00,50.00
192,"01M110",4.00,2015.00,"Asian",6.00,352.66,0.00,0.00,1.00,16.66,1.00,16.66,4.00,66.66
193,"01M110",3.00,2015.00,"Black",4.00,,,,,,,,,
194,"01M110",4.00,2015.00,"Black",7.00,292.14,1.00,14.28,6.00,85.71,0.00,0.00,0.00,0.00
195,"01M110",3.00,2015.00,"Hispanic",21.00,295.80,8.00,38.09,5.00,23.80,6.00,28.57,2.00,9.52
196,"01M110",4.00,2015.00,"Hispanic",33.00,316.96,6.00,18.18,8.00,24.24,10.00,30.30,9.00,27.27
197,"01M110",3.00,2015.00,"White",19.00,334.15,0.00,0.00,4.00,21.05,5.00,26.31,10.00,52.63
198,"01M110",4.00,2015.00,"White",14.00,346.71,0.00,0.00,1.00,7.14,4.00,28.57,9.00,64.28
199,"01M134",3.00,2013.00,"All Students",51.00,304.49,11.00,21.56,24.00,47.05,14.00,27.45,2.00,3.92
200,"01M134",4.00,2013.00,"All Students",61.00,293.90,20.00,32.78,24.00,39.34,14.00,22.95,3.00,4.91
201,"01M134",3.00,2013.00,"Asian",13.00,323.15,0.00,0.00,4.00,30.76,7.00,53.84,2.00,15.38
202,"01M134",4.00,2013.00,"Asian",13.00,320.23,1.00,7.69,4.00,30.76,5.00,38.46,3.00,23.07
203,"01M134",3.00,2013.00,"Black",14.00,298.00,5.00,35.71,8.00,57.14,1.00,7.14,0.00,0.00
204,"01M134",4.00,2013.00,"Black",13.00,283.84,6.00,46.15,5.00,38.46,2.00,15.38,0.00,0.00
205,"01M134",3.00,2013.00,"Hispanic",23.00,299.52,5.00,21.73,12.00,52.17,6.00,26.08,0.00,0.00
206,"01M134",4.00,2013.00,"Hispanic",34.00,288.52,12.00,35.29,15.00,44.11,7.00,20.58,0.00,0.00
207,"01M134",3.00,2013.00,"White",1.00,,,,,,,,,
208,"01M134",4.00,2013.00,"White",1.00,,,,,,,,,
209,"01M134",3.00,2014.00,"All Students",44.00,303.45,8.00,18.18,21.00,47.72,10.00,22.72,5.00,11.36
210,"01M134",4.00,2014.00,"All Students",41.00,305.95,7.00,17.07,17.00,41.46,13.00,31.70,4.00,9.75
211,"01M134",3.00,2014.00,"Asian",5.00,,,,,,,,,
212,"01M134",4.00,2014.00,"Asian",12.00,330.58,1.00,8.33,2.00,16.66,5.00,41.66,4.00,33.33
213,"01M134",3.00,2014.00,"Black",11.00,293.72,2.00,18.18,8.00,72.72,1.00,9.09,0.00,0.00
214,"01M134",4.00,2014.00,"Black",9.00,296.77,2.00,22.22,5.00,55.55,2.00,22.22,0.00,0.00
215,"01M134",3.00,2014.00,"Hispanic",27.00,303.66,6.00,22.22,11.00,40.74,6.00,22.22,4.00,14.81
216,"01M134",4.00,2014.00,"Hispanic",19.00,297.63,3.00,15.78,10.00,52.63,6.00,31.57,0.00,0.00
217,"01M134",3.00,2014.00,"White",1.00,,,,,,,,,
218,"01M134",4.00,2014.00,"White",1.00,,,,,,,,,
219,"01M134",3.00,2015.00,"All Students",44.00,297.11,18.00,40.90,12.00,27.27,6.00,13.63,8.00,18.18
220,"01M134",4.00,2015.00,"All Students",35.00,298.45,11.00,31.42,11.00,31.42,6.00,17.14,7.00,20.00
221,"01M134",3.00,2015.00,"Asian",17.00,318.47,2.00,11.76,6.00,35.29,2.00,11.76,7.00,41.17
222,"01M134",4.00,2015.00,"Asian",4.00,,,,,,,,,
223,"01M134",3.00,2015.00,"Black",5.00,,,,,,,,,
224,"01M134",4.00,2015.00,"Black",8.00,284.37,4.00,50.00,3.00,37.50,1.00,12.50,0.00,0.00
225,"01M134",3.00,2015.00,"Hispanic",19.00,281.73,12.00,63.15,3.00,15.78,4.00,21.05,0.00,0.00
226,"01M134",4.00,2015.00,"Hispanic",22.00,297.00,7.00,31.81,7.00,31.81,3.00,13.63,5.00,22.72
227,"01M134",3.00,2015.00,"White",3.00,,,,,,,,,
228,"01M134",4.00,2015.00,"White",1.00,,,,,,,,,
229,"01M137",3.00,2013.00,"All Students",28.00,280.39,16.00,57.14,9.00,32.14,2.00,7.14,1.00,3.57
230,"01M137",4.00,2013.00,"All Students",24.00,269.54,15.00,62.50,8.00,33.33,1.00,4.16,0.00,0.00
231,"01M137",3.00,2013.00,"Asian",4.00,,,,,,,,,
232,"01M137",4.00,2013.00,"Asian",2.00,,,,,,,,,
233,"01M137",3.00,2013.00,"Black",5.00,,,,,,,,,
234,"01M137",4.00,2013.00,"Black",7.00,270.28,6.00,85.71,1.00,14.28,0.00,0.00,0.00,0.00
235,"01M137",3.00,2013.00,"Hispanic",18.00,268.00,14.00,77.77,4.00,22.22,0.00,0.00,0.00,0.00
236,"01M137",4.00,2013.00,"Hispanic",12.00,264.50,7.00,58.33,4.00,33.33,1.00,8.33,0.00,0.00
237,"01M137",3.00,2013.00,"White",1.00,,,,,,,,,
238,"01M137",4.00,2013.00,"White",2.00,,,,,,,,,
239,"01M137",3.00,2014.00,"All Students",36.00,265.75,24.00,66.66,9.00,25.00,3.00,8.33,0.00,0.00
240,"01M137",4.00,2014.00,"All Students",26.00,280.38,16.00,61.53,6.00,23.07,2.00,7.69,2.00,7.69
241,"01M137",3.00,2014.00,"Asian",5.00,,,,,,,,,
242,"01M137",4.00,2014.00,"Asian",4.00,,,,,,,,,
243,"01M137",3.00,2014.00,"Black",12.00,276.41,6.00,50.00,4.00,33.33,2.00,16.66,0.00,0.00
244,"01M137",4.00,2014.00,"Black",5.00,,,,,,,,,
245,"01M137",3.00,2014.00,"Hispanic",19.00,252.31,17.00,89.47,2.00,10.52,0.00,0.00,0.00,0.00
246,"01M137",4.00,2014.00,"Hispanic",15.00,261.73,12.00,80.00,3.00,20.00,0.00,0.00,0.00,0.00
247,"01M137",4.00,2014.00,"White",2.00,,,,,,,,,
248,"01M137",3.00,2015.00,"All Students",27.00,287.14,14.00,51.85,6.00,22.22,6.00,22.22,1.00,3.70
249,"01M137",4.00,2015.00,"All Students",35.00,268.68,24.00,68.57,9.00,25.71,2.00,5.71,0.00,0.00
250,"01M137",3.00,2015.00,"Asian",7.00,301.28,2.00,28.57,1.00,14.28,4.00,57.14,0.00,0.00
251,"01M137",4.00,2015.00,"Asian",4.00,,,,,,,,,
252,"01M137",3.00,2015.00,"Black",5.00,,,,,,,,,
253,"01M137",4.00,2015.00,"Black",13.00,280.92,8.00,61.53,5.00,38.46,0.00,0.00,0.00,0.00
254,"01M137",3.00,2015.00,"Hispanic",14.00,282.71,9.00,64.28,3.00,21.42,1.00,7.14,1.00,7.14
255,"01M137",4.00,2015.00,"Hispanic",18.00,254.27,15.00,83.33,2.00,11.11,1.00,5.55,0.00,0.00
256,"01M137",3.00,2015.00,"White",1.00,,,,,,,,,
257,"01M140",3.00,2013.00,"All Students",31.00,272.90,18.00,58.06,12.00,38.70,1.00,3.22,0.00,0.00
258,"01M140",4.00,2013.00,"All Students",25.00,282.20,14.00,56.00,10.00,40.00,0.00,0.00,1.00,4.00
259,"01M140",3.00,2013.00,"Asian",1.00,,,,,,,,,
260,"01M140",4.00,2013.00,"Asian",2.00,,,,,,,,,
261,"01M140",3.00,2013.00,"Black",4.00,,,,,,,,,
262,"01M140",4.00,2013.00,"Black",5.00,,,,,,,,,
263,"01M140",3.00,2013.00,"Hispanic",26.00,273.65,15.00,57.69,10.00,38.46,1.00,3.84,0.00,0.00
264,"01M140",4.00,2013.00,"Hispanic",18.00,283.11,8.00,44.44,10.00,55.55,0.00,0.00,0.00,0.00
265,"01M140",3.00,2014.00,"All Students",26.00,270.07,19.00,73.07,6.00,23.07,1.00,3.84,0.00,0.00
